variable,variable translated,category,count,prevalence
p20001_i0,,anal cancer,75,0.000149364
p20002_i0,,hyperprolactinaemia,75,0.000149364
p20002_i0,,uterine problem,75,0.000149364
p6149_i0,Mouth/teeth dental problems Mouth  ,Painful gums|Loose teeth|Toothache|Dentures,75,0.000149364
p20002_i0,,pelvic inflammatory disease/ pid,74,0.000147373
p6149_i0,Mouth/teeth dental problems Mouth  ,Mouth ulcers|Loose teeth|Toothache|Dentures,74,0.000147373
p20002_i0,,other demyelinating disease (not multiple sclerosis),73,0.000145381
p20002_i0,,scrotal problem (not cancer),73,0.000145381
p20002_i0,,brain abscess/intracranial abscess,73,0.000145381
p20002_i0,,alcoholic liver disease / alcoholic cirrhosis,73,0.000145381
p20002_i0,,fracture neck / cervical fracture,73,0.000145381
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Other serious eye condition,73,0.000145381
p20002_i0,,pleural plaques (not known asbestosis),72,0.00014339
p20002_i0,,spina bifida,72,0.00014339
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor","Blood clot in the leg (DVT)|Emphysema/chronic bronchitis|Asthma|Hayfever, allergic rhinitis or eczema",72,0.00014339
p20002_i0,,sickle cell disease,71,0.000141398
p20002_i0,,myeloproliferative disorder,70,0.000139407
p20002_i0,,allergy to elastoplast,70,0.000139407
p20002_i0,,kidney nephropathy,70,0.000139407
p20001_i0,,non-small cell lung cancer,69,0.000137415
p20001_i0,,small cell lung cancer,69,0.000137415
p6149_i0,Mouth/teeth dental problems Mouth  ,Mouth ulcers|Painful gums|Toothache|Dentures,69,0.000137415
p20002_i0,,cushings syndrome,68,0.000135424
p6148_i0,Eye problems/disorders Eyesight ,Diabetes related eye disease|Glaucoma|Cataract,68,0.000135424
p20002_i0,,haemophilia,67,0.000133432
p20002_i0,,paget's disease,66,0.000131441
p20002_i0,,acromegaly,65,0.000129449
p20002_i0,,mrsa / methicillin resistant staphylococcus aureus,65,0.000129449
p20002_i0,,polymyositis,65,0.000129449
p20002_i0,,mitral valve disease,65,0.000129449
p20002_i0,,bowel / intestinal perforation,65,0.000129449
p20002_i0,,arterial embolism,64,0.000127458
p20002_i0,,pemphigoid/pemphigus,64,0.000127458
p20002_i0,,bile duct obstruction/ascending cholangitis,64,0.000127458
p20002_i0,,housemaid's knee (prepatellar bursitis),62,0.000123474
p6148_i0,Eye problems/disorders Eyesight ,Cataract|Macular degeneration|Other serious eye condition,61,0.000121483
p20002_i0,,diphtheria,59,0.0001175
p20002_i0,,hydatiform mole,58,0.000115508
p20002_i0,,monoclonal gammopathy/not myeloma,57,0.000113517
p20002_i0,,aortic valve disease,56,0.000111525
p20002_i0,,glomerulnephritis,56,0.000111525
p20002_i0,,motor neurone disease,56,0.000111525
p20002_i0,,paraplegia,56,0.000111525
p6148_i0,Eye problems/disorders Eyesight ,Glaucoma|Injury or trauma resulting in loss of vision|Cataract,56,0.000111525
p6152_i0," Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",Blood clot in the lung|Emphysema/chronic bronchitis,55,0.000109534
p20002_i0,,myasthenia gravis {1260_1284},54,0.000107542
p20002_i0,,infection of nervous system,54,0.000107542
p6149_i0,Mouth/teeth dental problems Mouth  ,Painful gums|Bleeding gums|Toothache|Dentures,54,0.000107542
p20002_i0,,other substance abuse/dependency,52,0.000103559
p20002_i0,,pancreatic disease,51,0.000101568
p20002_i0,,oesophageal varicies,51,0.000101568
p6149_i0,Mouth/teeth dental problems Mouth  ,Mouth ulcers|Painful gums|Loose teeth|Dentures,51,0.000101568
p6149_i0,Mouth/teeth dental problems Mouth  ,Mouth ulcers|Painful gums|Loose teeth|Toothache,51,0.000101568
